id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim1621,100 m backstroke,100,Female,31,58.77,58077,,,Kirsty Coventry,Kirsty_Coventry,Zimbabwe,4,Africa,35,"Monday, August 11, 2008",Olympic Games,"Beijing, China"
swim1622,100 m backstroke,100,Female,32,58.48,58048,,,Anastasia Zuyeva,Anastasia_Zuyeva,Russia,13,Europe,618,"Monday, July 27, 2009",World Championships,"Rome, Italy"
swim1623,100 m backstroke,100,Female,33,58.12,58012,,,Gemma Spofforth,Gemma_Spofforth,United Kingdom,4,Europe,136,"Tuesday, July 28, 2009",World Championships,"Rome, Italy"
swim442,100 m breaststroke,100,Male,1,01:11.40,71004,,Final,Leonid Kolesnikov,Leonid_Kolesnikov,Soviet Union,19,Europe,113,"Tuesday, May 2, 1961",,"Moscow, Soviet Union"
swim443,100 m breaststroke,100,Male,2,01:11.10,71001,,Final,Chet Jastremski,Chet_Jastremski,United States,407,America,429,"Sunday, July 2, 1961",,"Chicago, United States"
swim444,100 m breaststroke,100,Male,3,01:10.80,70008,,Final,Gunter Tittes,Gunter_Tittes,East Germany,14,Europe,37,"Wednesday, July 5, 1961",,"East Berlin, East Germany"
swim445,100 m breaststroke,100,Male,4,01:10.70,70007,,Final,Chet Jastremski,Chet_Jastremski,United States,970,America,1004,"Friday, July 28, 1961",,"Tokyo, Japan"
swim446,100 m breaststroke,100,Male,5,01:10.00,70000,,Final,Chet Jastremski,Chet_Jastremski,United States,371,America,393,"Sunday, July 30, 1961",,"Tokyo, Japan"
swim447,100 m breaststroke,100,Male,6,01:09.50,69005,,Final,Chet Jastremski,Chet_Jastremski,United States,267,America,282,"Thursday, August 3, 1961",,"Osaka, Japan"
swim448,100 m breaststroke,100,Male,7,01:07.80,67008,,Final,Chet Jastremski,Chet_Jastremski,United States,477,America,501,"Sunday, August 20, 1961",,"Los Angeles, United States"
swim449,100 m breaststroke,100,Male,8,01:07.50,67005,,Final,Chet Jastremski,Chet_Jastremski,United States,478,America,502,"Sunday, August 20, 1961",,"Los Angeles, United States"
swim450,100 m breaststroke,100,Male,9,01:07.40,67004,,Final,Georgy Prokopenko,Georgy_Prokopenko,Soviet Union,34,Europe,199,"Thursday, March 26, 1964",,"Baku, Soviet Union"
swim451,100 m breaststroke,100,Male,10,01:06.90,66009,,Final,Georgy Prokopenko,Georgy_Prokopenko,Soviet Union,32,Europe,193,"Thursday, September 3, 1964",,"Moscow, Soviet Union"
swim452,100 m breaststroke,100,Male,11,01:06.70,66007,,Final,Vladimir Kosinsky,Vladimir_Kosinsky,Soviet Union,1,Europe,7,"Wednesday, November 8, 1967",,"Leningrad, Soviet Union"
swim453,100 m breaststroke,100,Male,12,01:06.40,66004,,Final,Jose Fiolo,Jose_Fiolo,Brazil,5,America,880,"Monday, February 19, 1968",,"Rio de Janeiro, Brazil"
